id,current_age,retirement_age,birth_year,birth_month,gender,address,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
128,40,66,1979,4,Female,6914 Wessex Avenue,"$15,389 ","$31,377 ","$59,615 ",722,2
775,37,58,1982,9,Male,776 Norfolk Boulevard,"$21,402 ","$43,638 ","$104,052 ",627,1
1536,41,67,1978,11,Male,2015 Bayview Avenue,"$15,955 ","$32,531 ","$38,260 ",766,2
140,37,72,1983,2,Female,108 Washington Street,"$20,657 ","$42,120 ","$72,801 ",739,4
1884,18,64,2001,5,Male,660 Seventh Drive,"$28,092 ","$57,281 ","$89,114 ",850,1
1874,49,66,1970,9,Male,7505 Tenth Boulevard,"$18,828 ","$38,390 ","$87,923 ",783,4
1310,33,69,1986,9,Female,4930 Birch Drive,"$17,498 ","$35,670 ","$58,182 ",751,2
1689,21,66,1998,9,Female,93 Plum Lane,"$30,281 ","$61,746 ","$154,817 ",637,2
379,47,65,1972,11,Female,837 Lincoln Avenue,"$21,331 ","$43,496 ","$114,563 ",765,3
34,41,55,1978,8,Male,7467 Spruce Drive,"$25,431 ","$51,854 ","$72,162 ",737,2
822,51,68,1968,4,Female,6323 Sussex Boulevard,"$16,942 ","$34,540 ","$22,641 ",793,5
1499,46,62,1973,11,Male,8738 Fourth Street,"$20,248 ","$41,287 ","$88,151 ",662,1
1780,46,70,1973,10,Male,9344 Mill Drive,"$18,663 ","$38,054 ","$63,293 ",666,1
1806,59,62,1961,2,Female,299 11th Street,"$39,418 ","$80,371 ","$108,499 ",822,1
811,91,68,1929,2,Female,5492 Maple Drive,"$51,642 ","$84,694 ","$2,149 ",741,7
1844,79,72,1941,2,Male,829 Birch Boulevard,"$23,608 ","$37,503 ","$14,272 ",706,5
1852,57,75,1962,12,Male,41011 Seventh Boulevard,"$32,056 ","$65,357 ","$21,844 ",685,4
1231,26,52,1994,1,Female,613 Little Creek Lane,"$10,819 ","$22,066 ","$38,967 ",842,1
970,42,66,1977,11,Male,1942 Rose Avenue,"$21,916 ","$44,681 ","$42,011 ",770,3
381,26,69,1994,2,Male,5101 Birch Lane,"$25,163 ","$51,306 ","$68,198 ",675,1
1134,18,59,2002,2,Female,7 11th Drive,"$12,677 ","$25,847 ","$46,379 ",568,1
1296,60,64,1959,11,Female,2468 Spruce Drive,"$22,896 ","$46,683 ","$93,126 ",788,5
1880,61,66,1958,11,Male,8001 Essex Boulevard,"$15,487 ","$31,579 ","$52,419 ",771,3
322,47,65,1972,10,Male,708 George Street,"$13,759 ","$28,055 ","$12,475 ",829,3
461,42,68,1977,12,Female,28 Hillside Boulevard,"$32,078 ","$65,403 ","$80,057 ",784,4
1165,55,73,1964,11,Female,446 Birch Drive,"$13,522 ","$27,572 ","$59,404 ",797,1
1448,48,70,1971,12,Female,578 Maple Avenue,"$18,899 ","$38,539 ",$0 ,850,3
1288,41,57,1978,7,Female,14 Valley Drive,"$18,666 ","$38,059 ","$68,220 ",634,2
1178,59,68,1960,11,Female,2475 Little Creek Boulevard,"$25,872 ","$52,754 ","$38,191 ",693,5
1391,45,59,1975,2,Male,9604 Catherine Drive,"$25,109 ","$51,196 ","$67,164 ",631,4
838,26,70,1993,7,Male,349 First Drive,"$24,382 ","$49,713 ","$91,776 ",763,1
54,21,68,1998,4,Female,7914 Essex Boulevard,"$21,660 ","$44,160 ","$134,173 ",696,3
1452,46,59,1973,5,Female,524 Ocean Drive,"$95,039 ","$193,773 ","$241,571 ",660,1
1602,41,66,1979,2,Female,2079 Maple Drive,"$14,650 ","$29,864 ","$44,902 ",717,2
1938,22,67,1997,7,Male,295 Valley Drive,"$28,135 ","$57,367 ","$115,418 ",795,2
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,"$32,697 ","$56,635 ","$13,015 ",786,8
688,44,67,1975,3,Male,5125 Elm Drive,"$23,165 ","$47,227 ","$151,030 ",760,4
749,22,68,1997,10,Male,4098 Park Drive,"$12,051 ","$24,574 ","$80,667 ",674,3
643,29,65,1991,1,Female,892 Spruce Street,"$21,283 ","$43,397 ","$42,168 ",697,2
1219,28,72,1991,6,Female,9977 Oak Avenue,"$28,497 ","$58,105 ","$70,254 ",688,3
1198,82,67,1937,6,Male,79 South Boulevard,"$15,092 ","$10,869 ","$1,820 ",820,2
898,90,66,1929,6,Female,145 River Drive,"$12,427 ","$19,893 ","$1,712 ",566,3
882,63,65,1956,8,Male,7605 Essex Boulevard,"$18,019 ","$36,743 ","$71,719 ",612,2
348,49,70,1970,7,Female,480 Seventh Lane,"$22,747 ","$46,377 ","$79,980 ",719,3
633,36,69,1983,10,Female,5506 Fifth Boulevard,"$24,611 ","$50,179 ","$110,515 ",743,1
1493,30,65,1989,11,Male,136 Spruce Street,"$26,748 ","$54,537 ","$121,987 ",765,4
1161,23,66,1996,12,Male,306 First Drive,"$24,155 ","$49,255 ","$6,557 ",823,2
217,42,65,1977,10,Male,272 Burns Boulevard,"$15,221 ","$31,031 ","$21,853 ",744,7
1877,65,66,1955,1,Male,190 Sixth Drive,"$34,659 ","$70,673 ","$87,605 ",714,4
668,87,57,1932,10,Female,8569 Wessex Boulevard,"$13,263 ","$16,342 ","$1,758 ",747,5
533,22,65,1997,9,Male,385 Lexington Boulevard,"$15,183 ","$30,961 ","$42,597 ",677,1
203,58,67,1961,3,Female,407 Park Lane,"$14,864 ","$30,305 ","$23,392 ",776,3
1738,30,68,1989,3,Male,5142 Little Creek Street,"$33,736 ","$68,784 ","$198,417 ",696,4
713,25,71,1994,8,Female,224 Mountain View Boulevard,"$17,040 ","$34,745 ","$26,503 ",691,4
1631,18,67,2001,11,Female,4735 Fifth Avenue,"$31,741 ","$64,715 ","$174,664 ",740,3
1487,59,69,1961,2,Female,4793 North Street,"$39,464 ","$80,464 ","$76,261 ",727,3
1265,18,67,2002,2,Female,72 El Camino Boulevard,"$24,400 ","$49,748 ","$23,161 ",748,1
370,61,58,1958,11,Male,381 Fifth Lane,"$16,113 ","$41,904 ","$12,545 ",655,4
1014,54,70,1965,9,Female,393 Mountain View Lane,"$96,516 ","$196,784 ","$437,533 ",729,3
290,27,66,1992,3,Female,293 Wessex Street,"$49,458 ","$100,837 ","$61,377 ",687,2
985,32,65,1987,6,Male,7276 Fourth Drive,"$25,334 ","$51,654 ","$95,454 ",600,4
135,64,69,1955,6,Female,327 Lafayette Boulevard,"$18,680 ","$38,088 ","$51,679 ",691,2
307,18,69,2001,8,Male,2846 Lake Avenue,"$18,082 ","$36,866 ",$0 ,680,2
1783,52,70,1967,9,Male,2093 Ocean Street,"$18,443 ","$37,607 ","$63,689 ",749,5
1321,49,66,1970,10,Female,981 Fifth Boulevard,"$16,910 ","$34,480 ","$58,795 ",696,1
1511,43,66,1977,1,Male,18 Norfolk Boulevard,"$23,680 ","$48,279 ","$114,254 ",719,2
900,36,65,1983,7,Male,977 Littlewood Avenue,"$16,133 ","$32,896 ","$69,800 ",735,2
953,18,71,2001,6,Male,993 Mountain View Avenue,"$14,667 ","$29,909 ","$42,832 ",664,2
233,37,64,1982,12,Female,896 Rose Street,"$23,278 ","$47,464 ","$83,591 ",716,1
406,23,64,1996,5,Female,2418 Mill Drive,"$41,750 ","$85,128 ","$108,678 ",641,1
1069,54,69,1965,9,Male,3683 Fifth Street,"$22,487 ","$45,852 ","$114,746 ",615,2
180,33,67,1986,7,Female,0 Elm Street,"$13,024 ","$26,556 ","$43,042 ",840,2
996,63,67,1956,11,Female,2302 Catherine Lane,"$19,712 ","$40,194 ","$107,765 ",738,6
1866,22,67,1998,2,Male,213 Rose Drive,"$30,475 ","$62,135 ","$75,209 ",676,2
1981,48,65,1972,1,Male,8975 Littlewood Boulevard,"$19,274 ","$39,303 ","$23,650 ",702,7
870,63,64,1956,3,Female,1389 Park Lane,"$35,114 ","$71,593 ","$132,181 ",821,3
16,75,67,1944,12,Male,2890 Eighth Lane,"$15,451 ","$22,158 ","$19,101 ",681,5
46,62,66,1957,6,Male,20 Littlewood Boulevard,"$26,481 ","$53,996 ","$98,211 ",632,4
800,28,73,1991,10,Female,6413 Second Street,"$12,766 ","$26,025 ","$23,971 ",723,4
1968,25,69,1994,11,Female,611 Elm Lane,"$31,299 ","$63,816 ","$100,128 ",775,1
697,56,73,1964,1,Female,889 Martin Luther King Avenue,"$32,485 ","$66,230 ","$90,248 ",742,3
1269,56,56,1963,10,Male,336 Rose Avenue,"$25,365 ","$36,335 ","$28,929 ",676,2
1782,59,61,1961,2,Female,4254 Plum Lane,"$19,438 ","$39,633 ","$58,586 ",777,3
1977,43,69,1976,8,Female,825 Sussex Avenue,"$28,048 ","$57,185 ",$0 ,773,3
1734,37,69,1982,11,Male,185 Forest Drive,"$40,530 ","$82,637 ","$84,762 ",739,2
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,"$34,259 ","$31,121 ","$32,768 ",619,5
858,47,67,1972,11,Male,335 Valley Stream Boulevard,"$15,092 ","$30,774 ","$51,428 ",700,3
606,48,67,1971,12,Male,1773 Hill Street,"$16,300 ","$33,236 ","$57,549 ",747,1
1564,35,65,1984,10,Male,55 Ocean View Street,"$18,613 ","$37,947 ","$49,951 ",683,3
1109,24,65,1995,11,Male,8245 El Camino Lane,"$21,518 ","$43,875 ","$128,146 ",639,1
1301,26,66,1993,5,Female,9530 Washington Street,"$30,335 ","$61,850 ","$81,158 ",728,9
1399,28,71,1991,5,Male,221 Lexington Avenue,"$19,770 ","$40,314 ","$131,348 ",707,4
1775,26,67,1993,8,Male,2484 Norfolk Drive,"$18,622 ","$37,968 ","$55,982 ",788,3
1673,41,67,1978,11,Male,133 Grant Lane,"$17,145 ","$34,954 ","$45,456 ",772,3
1957,40,74,1979,9,Male,1977 Lake Avenue,"$47,055 ","$95,945 ","$222,735 ",772,2
1033,18,58,2002,2,Female,352 George Street,"$16,598 ","$33,844 ","$42,109 ",684,2
1024,66,67,1953,4,Male,554 Grant Boulevard,"$32,162 ","$65,573 ","$143,069 ",739,4
1441,40,66,1979,7,Male,631 Ocean View Street,"$23,840 ","$48,609 ","$43,520 ",737,3
1103,45,70,1974,5,Female,31 Jefferson Boulevard,"$12,618 ","$25,723 ","$34,007 ",746,3
431,19,72,2000,3,Female,973 Federal Avenue,"$25,495 ","$51,984 ","$79,152 ",691,3
165,34,65,1986,2,Male,95266 Bayview Drive,"$52,813 ","$107,683 ","$225,017 ",694,3
353,24,69,1996,2,Female,932 Essex Street,"$16,109 ","$32,847 ","$33,514 ",721,2
1758,57,66,1963,1,Male,126 Valley Drive,"$11,061 ","$22,556 ","$43,260 ",645,4
1266,35,54,1984,9,Female,239 South Drive,"$22,590 ","$46,063 ","$106,528 ",618,1
1943,19,65,2000,9,Female,1134 Valley Drive,"$46,762 ","$95,348 ","$71,972 ",706,3
792,28,65,1992,1,Female,5863 Grant Avenue,"$22,158 ","$45,180 ","$13,168 ",698,2
1055,37,69,1982,4,Male,3472 11th Avenue,"$15,137 ","$30,865 ","$55,079 ",594,1
1159,20,69,1999,11,Male,5590 Bayview Avenue,"$20,377 ","$41,543 ","$49,021 ",732,4
1115,53,73,1966,9,Male,94 Jefferson Drive,"$14,811 ","$30,198 ","$40,950 ",693,6
38,45,64,1974,12,Female,582 Birch Boulevard,"$19,621 ","$40,006 ","$72,794 ",621,1
1027,53,68,1966,5,Male,809 Mountain View Boulevard,"$30,232 ","$61,646 ",$0 ,693,3
11,39,67,1980,10,Female,6339 Fourth Street,"$33,175 ","$67,643 ",$0 ,714,6
871,86,71,1933,5,Female,81 Hill Avenue,"$13,820 ","$22,650 ",$0 ,690,6
746,63,67,1956,10,Male,28136 Wessex Street,"$14,856 ","$30,288 ","$42,745 ",689,4
1520,67,65,1952,10,Male,8787 Rose Avenue,"$22,549 ","$47,213 ","$1,082 ",789,5
1372,76,66,1943,10,Female,96 Ninth Lane,"$15,005 ","$28,215 ","$18,116 ",697,2
1799,32,55,1987,4,Male,3249 12th Drive,"$51,751 ","$105,515 ","$192,458 ",646,4
1905,36,68,1983,12,Male,9340 Valley Street,"$13,972 ","$28,489 ","$6,087 ",808,4
130,63,69,1956,9,Female,6429 Fifth Avenue,"$39,752 ","$81,048 ","$156,195 ",781,4
1990,19,62,2000,12,Female,849 George Avenue,"$23,180 ","$47,263 ","$74,853 ",726,2
593,19,71,2000,7,Male,804 Seventh Boulevard,"$16,585 ","$33,816 ","$77,770 ",635,1
540,25,69,1994,9,Female,76009 Valley Stream Boulevard,"$15,770 ","$32,160 ","$62,803 ",634,1
1155,83,65,1936,8,Female,387 Third Boulevard,"$15,462 ","$29,494 ","$1,196 ",689,5
663,68,63,1951,3,Female,6398 Lake Lane,"$36,563 ","$70,554 ","$39,078 ",655,5
1987,63,62,1956,9,Male,786 12th Drive,"$23,098 ","$33,686 ","$24,997 ",488,2
1484,92,72,1927,8,Female,290 Forest Street,"$30,818 ","$57,732 ","$2,261 ",726,6
417,21,65,1998,3,Male,320 Hillside Lane,"$10,730 ","$21,879 ","$69,638 ",762,1
298,28,65,1991,5,Male,437 Ocean View Drive,"$25,031 ","$51,041 ","$106,989 ",686,1
306,18,69,2002,1,Male,9850 Birch Drive,"$34,519 ","$70,380 ","$106,797 ",725,2
607,25,64,1994,8,Male,55 Third Drive,"$20,902 ","$42,617 ","$67,590 ",771,5
1769,75,65,1944,7,Male,177 Mill Boulevard,"$21,861 ","$46,031 ","$8,332 ",661,5
698,55,66,1964,10,Female,886 Little Creek Drive,"$31,927 ","$65,094 ","$23,909 ",699,3
896,27,65,1993,2,Female,327 Seventh Boulevard,"$18,278 ","$37,268 ","$50,388 ",626,1
1975,53,67,1967,2,Female,8224 Fourth Drive,"$19,114 ","$38,972 ","$44,098 ",738,3
645,63,64,1957,2,Female,174 Catherine Boulevard,"$13,075 ","$26,661 ","$42,667 ",750,5
227,48,66,1971,9,Male,496 Hill Lane,"$40,364 ","$82,295 ","$1,555 ",736,4
84,47,68,1972,9,Male,23068 Park Street,"$12,630 ","$25,748 ","$41,455 ",738,3
1684,56,65,1963,11,Male,27019 Madison Lane,"$13,668 ","$27,861 ","$108,313 ",782,5
745,18,72,2001,12,Male,293 First Boulevard,"$23,820 ","$48,561 ",$0 ,752,1
1508,66,69,1953,4,Female,8929 Essex Drive,"$19,125 ","$38,999 ","$64,875 ",747,4
1158,62,66,1957,4,Male,1569 George Boulevard,"$16,239 ","$33,112 ","$56,040 ",716,2
1427,34,66,1985,10,Female,326 Elm Lane,"$49,477 ","$100,880 ","$210,445 ",770,1
352,22,65,1997,11,Male,32 Valley Drive,"$18,175 ","$37,058 ","$50,548 ",680,2
1948,24,58,1995,3,Male,4132 Norfolk Boulevard,"$23,166 ","$47,234 ","$89,154 ",685,3
724,45,72,1974,5,Female,819 El Camino Boulevard,"$17,237 ","$35,142 ","$107,898 ",731,4
543,43,65,1976,3,Female,742 Lake Street,"$15,069 ","$30,721 ","$49,961 ",749,3
1559,56,67,1963,12,Female,607 George Boulevard,"$28,862 ","$58,846 ","$126,806 ",746,3
1199,29,68,1990,6,Male,704 Eighth Avenue,"$19,161 ","$39,069 ","$63,884 ",720,2
1745,20,65,2000,2,Female,8643 Lafayette Boulevard,"$24,252 ","$49,449 ","$30,723 ",728,3
1950,39,73,1980,3,Female,63 Plum Street,"$10,942 ","$22,312 ","$39,445 ",720,5
1397,32,72,1987,4,Male,5381 12th Boulevard,"$17,845 ","$36,388 ","$92,949 ",710,4
873,52,68,1967,8,Female,65 Fifth Boulevard,"$22,086 ","$45,037 ","$31,792 ",710,3
1728,47,63,1972,10,Female,2614 Eighth Lane,"$18,937 ","$38,615 ","$74,337 ",601,4
299,40,61,1979,7,Male,196 Plum Lane,"$13,845 ","$28,229 ","$55,675 ",622,5
1742,58,67,1961,11,Female,444 Maple Avenue,"$24,638 ","$50,232 ","$1,218 ",751,4
1004,59,66,1960,5,Male,868 Maple Drive,"$16,847 ","$34,350 ","$61,639 ",705,3
301,47,69,1972,11,Male,6009 River Avenue,"$25,654 ","$52,308 ","$135,319 ",679,1
1011,27,66,1992,8,Female,2058 Spruce Street,"$15,724 ","$32,061 ","$58,904 ",676,1
906,75,69,1945,2,Male,6930 East Lane,"$21,749 ","$21,154 ","$5,764 ",705,6
110,52,72,1967,10,Female,31204 El Camino Lane,"$25,594 ","$52,186 ","$42,852 ",737,4
1073,43,70,1976,5,Female,967 First Avenue,"$17,294 ","$35,264 ","$70,328 ",770,2
705,84,71,1935,9,Female,136 Hillside Avenue,"$42,234 ","$79,870 ","$4,031 ",609,2
820,70,59,1949,12,Female,669 South Street,"$26,762 ","$41,902 ","$29,713 ",633,5
1188,24,61,1995,8,Female,66992 Second Street,"$31,374 ","$63,969 ","$128,412 ",626,1
1128,47,68,1972,7,Male,208 Park Avenue,"$16,976 ","$34,606 ","$23,909 ",680,5
1479,32,60,1987,11,Male,335 Main Street,"$13,059 ","$26,631 ","$33,950 ",805,1
1594,39,64,1980,11,Male,532 12th Drive,"$17,645 ","$35,978 ","$49,366 ",643,3
1485,64,69,1955,10,Male,1350 Lake Drive,"$24,402 ","$49,756 ","$89,743 ",618,4
1390,37,71,1982,6,Male,691 First Lane,"$29,868 ","$60,897 ","$85,771 ",850,3
644,58,65,1961,3,Female,511 Grant Avenue,"$20,581 ","$41,963 ","$53,857 ",741,1
1912,37,60,1982,7,Female,3510 Mountain View Street,"$22,059 ","$44,976 ","$134,335 ",684,1
1584,27,69,1992,9,Male,9264 Lake Avenue,"$22,922 ","$46,733 ","$34,333 ",692,2
1803,26,60,1993,4,Female,596 Mountain View Lane,"$23,129 ","$47,160 ","$64,193 ",578,1
1824,23,65,1996,7,Male,374 East Lane,"$24,737 ","$50,433 ","$97,029 ",838,3
340,20,63,1999,8,Male,51 George Avenue,"$25,363 ","$51,713 ","$86,165 ",809,1
650,45,65,1974,8,Male,3916 Tenth Boulevard,"$11,876 ","$24,215 ","$28,552 ",707,6
762,49,59,1970,9,Male,813 Fifth Boulevard,"$18,293 ","$37,298 ","$52,134 ",683,1
1061,25,67,1994,12,Male,8931 Norfolk Drive,"$19,844 ","$40,457 ","$68,826 ",739,1
1931,58,72,1961,6,Male,8996 Third Street,"$40,694 ","$82,974 ","$181,429 ",503,2
702,46,68,1973,7,Female,33 Tenth Street,"$34,873 ","$71,103 ","$136,853 ",721,4
918,43,75,1976,5,Female,5528 Lake Lane,"$14,320 ","$29,194 ","$10,895 ",703,2
1137,52,67,1967,10,Male,8824 Hillside Avenue,"$16,410 ","$33,465 ","$98,713 ",669,3
66,20,71,1999,6,Female,69 Norfolk Avenue,"$15,361 ","$31,314 ","$40,331 ",721,4
1406,36,68,1983,7,Male,57 Pine Boulevard,"$11,633 ","$23,718 ","$1,386 ",712,2
437,46,66,1973,6,Female,9528 Hill Street,"$35,645 ","$72,670 ","$28,915 ",718,3
806,24,67,1995,4,Female,8251 Park Lane,"$38,243 ","$77,972 ","$6,128 ",686,3
891,38,66,1981,10,Female,177 Maple Boulevard,"$17,093 ","$34,854 ","$40,722 ",746,5
1191,25,69,1994,12,Female,299 Oak Boulevard,"$18,098 ","$36,902 ","$60,538 ",711,1
701,28,59,1991,12,Female,7087 Plum Street,"$26,476 ","$53,984 ","$76,118 ",701,1
1147,80,69,1939,3,Male,614 Spruce Avenue,"$46,827 ","$104,692 ","$6,955 ",704,2
1625,24,66,1995,5,Female,625 Washington Lane,"$49,629 ","$101,191 ","$290,730 ",659,1
1664,38,66,1981,10,Male,311 Fifth Drive,"$34,119 ","$69,566 ","$50,003 ",791,4
1273,21,71,1998,4,Male,966 Sussex Boulevard,"$24,223 ","$49,382 ","$43,126 ",762,1
1009,41,65,1979,1,Female,9059 Eighth Avenue,"$14,093 ","$28,733 ",$0 ,702,3
1341,87,72,1932,8,Male,4713 First Boulevard,"$19,914 ","$30,349 ","$2,985 ",686,4
925,31,68,1988,3,Male,4165 Valley Avenue,"$28,710 ","$58,538 ","$93,153 ",610,1
824,32,66,1987,8,Female,38 Catherine Boulevard,"$18,100 ","$36,901 ","$23,293 ",695,4
563,70,65,1950,1,Male,3485 Federal Avenue,"$24,725 ","$49,531 ","$6,707 ",737,6
1612,68,66,1951,8,Male,198 Main Boulevard,"$20,649 ","$35,370 ","$14,777 ",562,1
1700,45,62,1975,1,Female,891 Fourth Avenue,"$18,962 ","$38,666 ","$116,783 ",822,1
963,24,70,1995,12,Female,8094 Catherine Lane,"$20,458 ","$41,714 ","$54,541 ",687,3
904,32,66,1987,8,Male,41 Plum Boulevard,"$12,018 ","$24,505 ","$52,405 ",759,1
1586,43,65,1977,1,Male,2974 Grant Avenue,"$27,778 ","$56,640 ","$104,134 ",672,4
1286,53,67,1966,10,Female,456 Lincoln Boulevard,"$30,202 ","$61,578 ","$85,383 ",602,2
719,53,66,1966,11,Female,1959 Forest Street,"$24,589 ","$50,139 ","$109,623 ",767,3
1469,21,68,1998,12,Male,74 Hill Avenue,"$16,990 ","$34,646 ","$54,205 ",759,1
930,22,65,1998,1,Male,5274 Martin Luther King Lane,"$12,274 ","$25,024 ","$29,227 ",691,2
1814,41,68,1979,1,Female,136 South Street,"$16,114 ","$32,856 ","$26,535 ",703,3
1723,41,66,1978,10,Female,560 Summit Street,"$17,696 ","$36,080 ","$80,443 ",839,3
1377,32,68,1987,11,Female,593 Washington Drive,"$14,535 ","$29,637 ","$56,446 ",569,3
470,56,65,1964,2,Male,281 Martin Luther King Avenue,"$14,004 ","$28,553 ","$94,214 ",747,3
1804,18,65,2001,9,Male,1335 Norfolk Drive,"$21,335 ","$43,499 ","$108,468 ",701,4
229,35,57,1984,6,Female,47428 First Boulevard,"$29,059 ","$59,248 ","$173,887 ",725,5
1512,44,65,1975,6,Male,6995 North Drive,"$32,865 ","$67,008 ","$81,402 ",778,8
1543,31,68,1988,10,Female,5857 12th Avenue,"$51,976 ","$105,963 ","$106,266 ",684,4
147,30,66,1989,4,Male,4096 Sussex Avenue,"$27,653 ","$56,383 ","$130,152 ",800,4
1941,38,78,1981,8,Male,2867 Federal Drive,"$18,934 ","$38,609 ","$27,463 ",740,3
901,48,66,1971,9,Male,96 11th Street,"$17,987 ","$36,671 ","$39,882 ",850,3
191,28,65,1991,10,Male,654 Elm Drive,"$19,550 ","$39,860 ","$112,825 ",728,1
12,18,63,2002,2,Female,345 George Avenue,"$18,531 ","$37,785 ","$58,187 ",748,1
1828,50,68,1969,6,Male,35 Hillside Drive,$0 ,"$2,466 ","$5,521 ",711,2
29,68,60,1951,8,Female,318 Spruce Boulevard,"$18,682 ","$27,358 ","$13,557 ",665,2
181,26,65,1994,1,Female,118 12th Avenue,"$25,025 ","$51,024 ","$181,184 ",602,1
995,40,64,1979,5,Female,1752 Martin Luther King Avenue,"$49,868 ","$101,679 ","$307,856 ",592,1
1218,20,71,1999,6,Male,982 Plum Boulevard,"$13,632 ","$27,801 ",$0 ,754,1
186,61,69,1958,11,Female,49 Bayview Lane,"$18,897 ","$38,536 ","$72,299 ",705,1
171,43,70,1976,5,Female,5194 Grant Street,"$24,314 ","$49,577 ","$142,314 ",694,3
1401,24,71,1995,11,Male,9713 Fourth Lane,"$17,985 ","$36,672 ","$49,660 ",739,2
1314,43,70,1976,11,Male,857 Jefferson Avenue,"$19,325 ","$39,404 ","$71,859 ",723,5
1560,61,60,1958,5,Female,1861 Fourth Boulevard,"$18,849 ","$18,452 ","$16,827 ",741,6
613,39,69,1980,9,Female,7549 Fourth Lane,"$27,741 ","$56,562 ","$111,495 ",712,4
346,90,74,1929,11,Female,495 Ocean View Lane,"$25,249 ","$48,580 ","$1,785 ",687,7
812,41,67,1978,4,Female,6946 Park Drive,"$20,338 ","$41,469 ","$119,423 ",659,1
13,52,61,1967,6,Female,4222 Ocean View Drive,"$15,879 ","$32,378 ","$65,919 ",588,4
602,57,67,1963,1,Male,46 South Street,"$16,888 ","$34,437 ",$0 ,681,4
657,83,68,1936,11,Female,2780 Martin Luther King Drive,"$20,697 ","$33,897 ",$533 ,705,4
909,38,64,1981,5,Male,215 Ocean View Drive,"$24,044 ","$49,023 ","$66,148 ",583,5
183,24,65,1995,12,Female,84 Second Lane,"$18,937 ","$38,609 ","$39,867 ",798,3
1792,18,68,2001,11,Female,1987 Hillside Lane,"$15,062 ","$30,712 ","$38,054 ",723,2
1599,22,68,1997,7,Male,71 Madison Street,"$16,011 ","$32,645 ","$59,851 ",790,3
1267,81,65,1938,10,Female,9574 Ocean Drive,"$28,248 ","$31,912 ","$2,182 ",630,4
411,30,67,1990,1,Male,649 Sussex Street,"$18,401 ","$37,521 ","$65,701 ",775,2
350,62,70,1957,8,Female,102 Seventh Avenue,"$28,673 ","$58,463 ","$141,151 ",737,4
1323,36,68,1983,3,Female,28 Second Boulevard,"$15,407 ","$31,414 ","$42,233 ",719,4
934,32,63,1987,12,Female,2017 Ninth Drive,"$20,159 ","$41,106 ","$106,963 ",762,3
421,53,67,1967,1,Female,595 Valley Stream Drive,"$22,502 ","$45,876 ","$58,252 ",790,7
223,37,67,1982,10,Female,3748 Mountain View Drive,"$28,760 ","$58,637 ","$87,340 ",803,6
